"X","order_id","count_reorders","count_products"
"560",402172,8,10
"561",402186,4,4
"562",403035,3,4
"563",403308,8,14
"564",404928,1,3
"565",404993,23,28
"566",405656,3,9
"567",407138,4,9
"568",407451,9,12
"569",409834,3,9
"570",410715,2,11
"571",411151,8,8
"572",411878,1,3
"573",411966,5,8
"574",414980,10,18
"575",415181,0,3
"576",415971,8,10
"577",416140,3,5
"578",416285,2,8
"579",416884,4,16
"580",417864,11,11
"581",418044,6,8
"582",418245,5,6
"583",418455,6,6
"584",418488,7,7
"585",418961,10,14
"586",419585,6,14
"587",419645,8,14
"588",420165,4,13
"589",420415,6,12
"590",420940,2,2
"591",421430,3,9
"592",421680,9,12
"593",422847,1,1
"594",422880,5,6
"595",423076,4,9
"596",423260,4,6
"597",425372,2,3
"598",427224,5,11
"599",427624,3,7
"600",428653,3,6
"601",428702,3,6
"602",430232,15,15
"603",430721,5,5
"604",430864,14,16
"605",431957,18,23
"606",431990,0,13
"607",432812,1,1
"608",434672,9,11
"609",435377,4,4
"610",436017,6,13
"611",437145,4,4
"612",438371,6,7
"613",440384,8,20
"614",440735,4,9
"615",443125,1,1
"616",443657,1,2
"617",444481,5,5
"618",444834,6,10
"619",445949,2,2
"620",447980,21,25
"621",447997,4,5
"622",448828,1,3
"623",449225,11,14
"624",449489,8,12
"625",449826,26,27
"626",451209,5,6
"627",451341,10,12
"628",452049,2,14
"629",452984,2,3
"630",453914,6,9
"631",457136,0,1
"632",457725,1,4
"633",458096,0,7
"634",458214,12,22
"635",459502,3,3
"636",459724,1,1
"637",459873,13,21
"638",460339,3,19
"639",461731,5,9
"640",462579,2,4
"641",463338,1,2
"642",463402,2,4
"643",464499,9,16
"644",467402,7,20
"645",468895,6,11
"646",468955,4,7
"647",469192,4,16
"648",469605,4,7
"649",469672,6,6
"650",470733,24,35
"651",470795,16,16
"652",471298,2,12
"653",471848,11,14
"654",472201,16,23
"655",474508,0,7
"656",475039,14,26
"657",475324,10,11
"658",476284,16,29
"659",476619,7,13
"660",477918,15,15
"661",478713,7,13
"662",478812,15,18
"663",479273,5,17
"664",479332,5,38
"665",479985,9,10
"666",480476,2,2
"667",481365,5,5
"668",481658,6,10
"669",481805,1,2
"670",483872,12,27
"671",483890,14,21
"672",483946,4,8
"673",484489,1,14
"674",485991,11,27
"675",487133,3,3
"676",488361,15,20
"677",488552,7,9
"678",490220,17,18
"679",490451,0,1
"680",490505,7,8
"681",491054,8,8
"682",491119,1,3
"683",494624,6,11
"684",495296,1,6
"685",496302,1,2
"686",496467,2,17
"687",496711,11,12
"688",497370,2,2
"689",499278,5,6
"690",499716,16,18
"691",499792,2,7
"692",500080,26,29
"693",500253,2,4
"694",500897,2,3
"695",500969,3,15
"696",502738,9,24
"697",504227,12,22
"698",505415,2,2
"699",506188,17,19
"700",506735,1,7
"701",506736,5,17
"702",506749,18,23
"703",507831,15,16
"704",507985,9,24
"705",508218,19,28
"706",508423,21,43
"707",509769,1,1
"708",510056,3,6
"709",510230,10,10
"710",510449,12,17
"711",511086,12,18
"712",511320,0,4
"713",512123,1,1
"714",512327,4,6
"715",512968,6,9
"716",513616,11,14
"717",514198,3,3
"718",514576,2,6
"719",514828,7,11
"720",516142,3,12
"721",516336,13,13
"722",516780,1,11
"723",517096,16,16
"724",518732,1,1
"725",519959,4,14
"726",520183,8,29
"727",520568,4,5
"728",522241,0,6
"729",522246,15,20
"730",522327,9,28
"731",525387,2,5
"732",526424,3,5
"733",527894,5,11
"734",528812,4,4
"735",529986,0,9
"736",530174,4,7
"737",531608,10,10
"738",533016,4,4
"739",533265,13,18
"740",533323,5,8
"741",533603,5,14
"742",534142,8,14
"743",534471,5,6
"744",535076,15,25
"745",536974,1,2
"746",538040,8,11
"747",540732,4,5
"748",540872,6,6
"749",541438,3,3
"750",543185,4,13
"751",543314,6,9
"752",544281,1,10
"753",544693,14,24
"754",544751,1,4
"755",545902,14,20
"756",546092,1,1
"757",546970,12,18
"758",547922,5,7
"759",548662,6,8
"760",548668,5,6
"761",548734,1,6
"762",549389,6,21
"763",549941,7,17
"764",549964,4,4
"765",550914,6,7
"766",551046,16,23
"767",551372,18,35
"768",551728,1,8
"769",552126,11,11
"770",552179,6,11
"771",552512,6,9
"772",554942,14,20
"773",556676,2,9
"774",556950,2,3
"775",556958,3,8
"776",557016,9,13
"777",558160,3,8
"778",560812,20,27
"779",561736,4,6
"780",562088,5,5
"781",563481,0,5
"782",563483,0,1
"783",563994,2,4
"784",564363,3,4
"785",564941,6,9
"786",565103,3,6
"787",565336,13,13
"788",566246,0,9
"789",566407,1,2
"790",567343,13,18
"791",567673,5,11
"792",567686,2,2
"793",567983,0,2
"794",568208,4,8
"795",568403,10,10
"796",568873,9,12
"797",569302,15,18
"798",569478,21,23
"799",571798,4,6
"800",573132,3,3
"801",573519,4,5
"802",573706,6,14
"803",573726,8,8
"804",573934,14,19
"805",574288,2,4
"806",574874,15,19
"807",575040,8,12
"808",575269,2,2
"809",575687,16,16
"810",576933,0,5
"811",577150,15,25
"812",577406,3,7
"813",578207,7,7
"814",578532,6,8
"815",578737,4,7
"816",579215,3,4
"817",580546,3,9
"818",580580,8,15
"819",584278,13,14
"820",584334,5,12
"821",584443,3,3
"822",584796,18,25
"823",587346,5,14
"824",588036,9,10
"825",588730,6,19
"826",591165,5,20
"827",591296,5,23
"828",591337,19,28
"829",591493,6,17
"830",591985,10,10
"831",592888,4,12
"832",593776,2,10
"833",594738,2,6
"834",594948,5,12
"835",595905,3,4
"836",596029,7,8
"837",596500,7,7
"838",596942,1,1
"839",598249,12,22
"840",598257,4,9
"841",598795,2,8
"842",598872,3,9
"843",599121,1,5
"844",599655,13,16
"845",602033,1,1
"846",602700,5,8
"847",602735,6,6
"848",603274,9,25
"849",603462,4,9
"850",604146,6,13
"851",605497,10,18
"852",605621,0,2
"853",605798,2,2
"854",606060,7,15
"855",607444,17,19
"856",607528,1,3
"857",607869,14,26
"858",609166,2,2
"859",609418,1,5
"860",609717,10,10
"861",610301,6,10
"862",610633,2,2
"863",610901,1,1
"864",612210,8,13
"865",615682,1,3
"866",615880,0,7
"867",616231,1,3
"868",616432,2,2
"869",617416,5,9
"870",618196,15,18
"871",619899,12,21
"872",619949,8,16
"873",620178,9,25
"874",620751,43,48
"875",621983,9,10
"876",622196,8,9
"877",622205,11,23
"878",622823,2,8
"879",623935,16,20
"880",623967,1,3
"881",625406,2,11
"882",626604,27,28
"883",626943,1,2
"884",627106,7,9
"885",627942,2,4
"886",628428,1,5
"887",628831,10,13
"888",629227,15,24
"889",630354,16,19
"890",630619,7,14
"891",630825,24,27
"892",631302,2,2
"893",631808,3,3
"894",632227,4,7
"895",632797,9,11
"896",633045,20,21
"897",633102,4,6
"898",634321,5,17
"899",634611,3,5
"900",634618,3,6
"901",635447,1,6
"902",636888,2,2
"903",637136,4,10
"904",637137,1,10
"905",637232,7,8
"906",637685,17,17
"907",640495,10,17
"908",643029,7,22
"909",643033,5,10
"910",643570,8,14
"911",643718,3,14
"912",645088,6,9
"913",645176,6,11
"914",645202,6,7
"915",645590,2,7
"916",646037,8,8
"917",646266,5,5
"918",647215,7,8
"919",647440,5,7
"920",647529,6,13
"921",648928,1,1
"922",649358,1,9
"923",649755,2,3
"924",649782,7,9
"925",652479,3,7
"926",652891,2,2
"927",652966,6,8
"928",653655,23,24
"929",654321,2,2
"930",654843,6,6
"931",656494,1,4
"932",657595,4,8
"933",658435,12,13
"934",658495,7,13
"935",659418,3,6
"936",660832,9,11
"937",661600,9,9
"938",662748,5,42
"939",662808,0,2
"940",662900,5,14
"941",663093,19,23
"942",663605,9,17
"943",664237,5,5
"944",664261,1,4
"945",664659,1,5
"946",666498,12,13
"947",667789,22,24
"948",668585,3,3
"949",669416,10,22
"950",670762,7,13
"951",671201,8,19
"952",671507,1,5
"953",672415,2,11
"954",672771,17,17
"955",674422,3,8
"956",675951,8,13
"957",676576,0,6
"958",676683,12,13
"959",676726,2,2
"960",678923,11,20
"961",679277,3,3
"962",679296,8,13
"963",679416,3,6
"964",679979,5,9
"965",680975,3,3
"966",681103,1,1
"967",681136,7,17
"968",682438,3,5
"969",682466,1,4
"970",682768,17,18
"971",683368,3,5
"972",684127,2,2
"973",684268,2,4
"974",684562,4,4
"975",684874,1,17
"976",686204,31,32
"977",687241,4,4
"978",687773,9,14
"979",688066,6,7
"980",688721,0,2
"981",688743,21,21
"982",689691,23,29
"983",689999,1,3
"984",690189,0,17
"985",690607,20,22
"986",691290,25,27
"987",691500,16,16
"988",691889,23,33
"989",692062,4,15
"990",693896,1,3
"991",694300,8,8
"992",694960,14,16
"993",695237,2,12
"994",695665,0,10
"995",696563,6,9
"996",696767,3,6
"997",696826,17,22
"998",698189,0,3
"999",698799,6,8
"1000",698837,10,14
"1001",698889,9,10
"1002",698892,4,12
"1003",699401,9,12
"1004",699493,9,10
"1005",700977,8,10
"1006",702083,1,8
"1007",702501,1,1
"1008",702973,5,10
"1009",703001,9,18
"1010",703295,16,18
"1011",705546,0,3
"1012",706584,10,27
"1013",707153,1,3
"1014",707363,5,11
"1015",707384,2,7
"1016",707829,7,8
"1017",709530,1,8
"1018",709770,12,26
"1019",709899,6,10
"1020",710340,26,30
"1021",710418,5,11
"1022",712532,6,8
"1023",713193,13,19
"1024",713232,20,22
"1025",713240,2,2
"1026",713831,1,5
"1027",715608,2,5
"1028",715628,7,9
"1029",715958,0,7
"1030",716481,9,9
"1031",719972,6,7
"1032",720694,2,6
"1033",721284,5,11
"1034",721412,10,11
"1035",722578,4,4
"1036",722682,12,19
"1037",722792,1,1
"1038",723203,15,18
"1039",723820,30,35
"1040",724402,4,7
"1041",725476,6,7
"1042",725559,17,31
"1043",725907,3,7
"1044",726835,9,13
"1045",727574,4,14
"1046",727673,2,2
"1047",727761,9,14
"1048",727979,4,4
"1049",728892,23,33
"1050",729343,2,2
"1051",729932,12,18
"1052",730105,0,1
"1053",730708,1,1
"1054",730762,0,1
"1055",730984,1,5
"1056",732056,3,8
"1057",732117,24,28
"1058",733263,0,1
"1059",733841,1,2
"1060",733968,18,19
"1061",734395,15,20
"1062",734552,0,1
"1063",735601,3,3
"1064",736584,10,14
"1065",737267,2,2
"1066",737457,24,28
"1067",737909,5,8
"1068",738993,4,16
"1069",739917,2,6
"1070",741524,11,14
"1071",741554,16,17
"1072",742735,1,2
"1073",743046,12,27
"1074",744452,1,7
"1075",744586,5,13
"1076",744644,4,5
"1077",744852,14,17
"1078",745812,1,5
"1079",746910,4,6
"1080",747614,7,20
"1081",749135,0,1
"1082",749524,5,15
"1083",750142,3,4
"1084",751284,2,4
"1085",751483,6,8
"1086",752586,10,16
"1087",754657,2,3
"1088",755673,7,7
"1089",755729,4,10
"1090",756264,4,12
"1091",757233,5,6
"1092",757396,1,10
"1093",758335,1,35
"1094",759060,19,25
"1095",759835,12,15
"1096",760402,3,7
"1097",760563,11,12
"1098",765490,6,8
"1099",765529,9,13
"1100",765994,0,2
"1101",766180,1,2
"1102",767225,0,3
"1103",767287,15,20
"1104",767447,4,4
"1105",768013,3,15
"1106",768539,21,28
"1107",769346,8,13
"1108",769367,0,1
"1109",769520,20,24
"1110",769661,3,4
"1111",771639,19,27
"1112",771876,2,4
"1113",772071,4,6
"1114",773008,14,15
"1115",774701,4,4
"1116",776104,7,7
"1117",776434,1,3
"1118",777217,6,13
"1119",777274,4,18
"1120",779372,19,20
"1121",779419,2,5
"1122",779722,2,2
"1123",779753,6,15
"1124",780010,2,7
"1125",780086,2,12
"1126",781132,15,15
"1127",781467,2,4
"1128",781622,1,2
"1129",781922,9,11
"1130",782149,2,4
"1131",782695,1,1
"1132",785055,1,4
"1133",785385,16,22
"1134",785667,10,14
"1135",785680,9,13
"1136",786187,5,6
"1137",786204,21,22
"1138",786871,12,16
"1139",787408,8,11
"1140",789423,4,7
"1141",789759,6,8
"1142",789954,7,13
"1143",791772,4,23
"1144",791949,4,4
"1145",792146,3,5
"1146",792802,0,8
"1147",793316,0,3
"1148",794739,12,15
"1149",797574,2,2
"1150",798851,4,5
"1151",800424,8,19
"1152",800908,1,2
"1153",801124,7,8
"1154",801153,2,6
"1155",801235,7,11
"1156",801580,12,22
"1157",804555,16,19
"1158",804947,8,8
"1159",805115,0,8
"1160",805206,8,13
"1161",805290,13,21
"1162",807448,23,30
"1163",808439,0,1
"1164",809761,22,27
"1165",810069,4,13
"1166",811012,3,3
"1167",811072,4,6
"1168",811652,10,17
"1169",812669,1,4
"1170",812676,3,9
"1171",813016,4,11
"1172",813558,4,8
"1173",813587,13,16
"1174",814183,2,2
"1175",814258,7,7
"1176",814845,3,3
"1177",815253,3,4
"1178",815676,4,5
"1179",815903,22,26
"1180",817404,10,11
"1181",818781,4,9
"1182",818984,20,21
"1183",819122,12,12
"1184",819481,6,7
"1185",819755,21,30
"1186",819844,1,12
"1187",819949,7,13
"1188",821562,1,7
"1189",821638,7,7
"1190",822046,3,9
"1191",825424,13,16
"1192",825706,0,1
"1193",826194,8,14
"1194",826427,3,7
"1195",826933,5,9
"1196",827476,1,1
"1197",827667,0,4
"1198",828670,2,6
"1199",829281,2,2
"1200",830030,7,9
"1201",830875,2,9
"1202",831506,13,24
"1203",832409,1,2
"1204",832704,0,1
"1205",832762,7,8
"1206",833480,5,6
"1207",833675,11,11
"1208",833966,0,6
"1209",834761,4,4
"1210",835960,4,4
"1211",836085,8,8
"1212",836289,10,11
"1213",836851,3,7
"1214",837121,12,19
"1215",837403,1,1
"1216",837505,0,1
"1217",837592,11,27
"1218",839147,1,6
"1219",839436,0,1
"1220",840886,4,13
"1221",840949,6,11
"1222",843655,0,10
"1223",844537,9,16
"1224",844890,1,2
"1225",845243,4,4
"1226",845939,11,13
"1227",848626,0,1
"1228",849865,14,24
"1229",850249,16,24
"1230",853087,2,6
"1231",854919,2,10
"1232",854956,0,1
"1233",855593,5,12
"1234",856147,9,13
"1235",856367,1,1
"1236",859764,3,9
"1237",860711,7,8
"1238",860783,15,24
"1239",861928,1,1
"1240",862439,24,27
"1241",862591,11,16
"1242",862712,1,4
"1243",862731,1,1
"1244",863503,0,2
"1245",864359,3,6
"1246",866335,9,14
"1247",866699,6,7
"1248",868771,7,7
"1249",869026,2,4
"1250",869684,21,22
"1251",870271,11,21
"1252",870893,3,4
"1253",871169,9,11
"1254",871585,2,7
"1255",873711,3,3
"1256",874052,14,15
"1257",874950,1,8
"1258",876400,18,25
"1259",876946,9,9
"1260",877567,11,11
"1261",878109,4,9
"1262",880394,4,9
"1263",882263,5,9
"1264",883352,9,10
"1265",883701,4,4
"1266",884033,4,11
"1267",884234,0,2
"1268",884750,4,5
"1269",885129,13,13
"1270",885853,4,10
"1271",886834,3,7
"1272",887422,1,7
"1273",887892,1,8
"1274",888048,5,13
"1275",888862,12,15
"1276",891337,1,1
"1277",891481,19,24
"1278",892119,2,5
"1279",892172,11,12
"1280",892246,5,6
"1281",893171,11,12
"1282",893249,0,15
"1283",894257,6,14
"1284",894460,3,3
"1285",895428,3,9
"1286",895792,1,1
"1287",895955,5,6
"1288",896435,9,13
"1289",896929,2,6
"1290",900332,1,1
"1291",901903,2,6
"1292",901906,4,5
"1293",902501,8,11
"1294",902519,10,47
"1295",903202,3,5
"1296",903532,3,6
"1297",904329,7,7
"1298",905919,0,2
"1299",906059,5,10
"1300",907701,2,16
"1301",908661,2,3
"1302",909335,6,7
"1303",910877,11,21
"1304",911342,1,1
"1305",914588,6,6
"1306",914697,0,4
"1307",914751,4,5
"1308",915541,0,9
"1309",916024,1,1
"1310",916315,29,29
"1311",916436,5,7
"1312",916784,4,6
"1313",917153,3,10
"1314",919371,13,22
"1315",919401,0,9
"1316",919792,9,13
"1317",919796,12,12
"1318",919885,6,9
"1319",920725,0,6
"1320",922302,4,5
"1321",922567,18,19
"1322",924287,16,19
"1323",924343,1,1
"1324",924488,0,5
"1325",924837,11,11
"1326",925653,2,2
"1327",926315,5,5
"1328",927222,0,6
"1329",927397,6,11
"1330",929642,0,7
"1331",931505,4,4
"1332",931599,6,8
"1333",931803,0,11
"1334",933658,2,2
"1335",934108,8,8
"1336",934270,8,12
"1337",934417,2,13
"1338",934630,4,4
"1339",934640,7,7
"1340",934688,2,11
"1341",935287,21,28
"1342",937793,15,20
"1343",938099,2,6
"1344",939695,1,6
"1345",939849,5,12
"1346",940230,1,2
"1347",942589,9,23
"1348",942662,3,10
"1349",942917,6,6
"1350",943701,3,4
"1351",944029,10,16
"1352",944938,1,1
"1353",945800,14,22
"1354",947596,2,4
"1355",947827,2,7
"1356",948284,15,16
"1357",948695,20,20
"1358",949292,0,9
"1359",949365,19,24
"1360",949455,2,2
