"","order_id","reorders","products","order_hour_of_day","days_since_prior_order","order_dow","Mon","Tue","Wed","Thu","Fri","Sat","Sun"
"33",128515,9,11,17,6,6,0,0,0,0,0,1,0
"34",130128,11,12,12,8,2,0,1,0,0,0,0,0
"35",135511,23,30,16,17,3,0,0,1,0,0,0,0
"36",136881,2,4,13,30,1,1,0,0,0,0,0,0
"37",139749,4,7,10,21,0,0,0,0,0,0,0,1
"38",140149,4,17,10,8,1,1,0,0,0,0,0,0
"39",141037,7,8,18,7,4,0,0,0,1,0,0,0
"40",143254,3,3,7,5,3,0,0,1,0,0,0,0
"41",146980,5,15,15,7,0,0,0,0,0,0,0,1
"42",155173,17,21,11,6,4,0,0,0,1,0,0,0
"43",157535,6,16,15,21,1,1,0,0,0,0,0,0
"44",165262,11,16,10,3,1,1,0,0,0,0,0,0
"45",166528,5,12,17,3,4,0,0,0,1,0,0,0
"46",173502,9,13,18,3,2,0,1,0,0,0,0,0
"47",174760,12,18,17,8,4,0,0,0,1,0,0,0
"48",181216,4,7,15,4,2,0,1,0,0,0,0,0
"49",186835,0,23,23,NA,4,0,0,0,1,0,0,0
"50",189711,4,4,17,21,2,0,1,0,0,0,0,0
"51",196850,4,4,10,21,3,0,0,1,0,0,0,0
"52",197156,0,1,7,3,5,0,0,0,0,1,0,0
"53",199986,9,13,13,3,2,0,1,0,0,0,0,0
"54",202391,10,10,16,30,0,0,0,0,0,0,0,1
"55",215239,8,16,14,8,2,0,1,0,0,0,0,0
"56",217315,3,5,23,7,5,0,0,0,0,1,0,0
"57",217652,5,5,12,30,0,0,0,0,0,0,0,1
"58",219413,3,3,17,1,3,0,0,1,0,0,0,0
"59",222819,7,17,17,3,4,0,0,0,1,0,0,0
"60",224777,0,37,21,NA,5,0,0,0,0,1,0,0
"61",229296,5,12,9,14,0,0,0,0,0,0,0,1
"62",229778,21,23,10,30,1,1,0,0,0,0,0,0
"63",232621,0,22,16,NA,1,1,0,0,0,0,0,0
"64",232744,5,6,13,11,3,0,0,1,0,0,0,0
"65",234152,11,11,17,9,4,0,0,0,1,0,0,0
"66",236482,5,10,17,2,2,0,1,0,0,0,0,0
"67",239082,5,9,7,11,2,0,1,0,0,0,0,0
"68",241345,2,4,23,2,6,0,0,0,0,0,1,0
"69",242497,10,11,8,13,5,0,0,0,0,1,0,0
"70",244035,7,10,10,6,4,0,0,0,1,0,0,0
"71",246232,1,1,10,30,6,0,0,0,0,0,1,0
"72",248930,3,5,14,8,6,0,0,0,0,0,1,0
"73",257350,4,7,13,4,1,1,0,0,0,0,0,0
"74",261003,14,16,10,7,0,0,0,0,0,0,0,1
"75",268952,5,5,12,30,6,0,0,0,0,0,1,0
"76",270669,7,17,11,21,0,0,0,0,0,0,0,1
"77",285805,8,14,11,7,6,0,0,0,0,0,1,0
"78",292122,3,3,17,11,5,0,0,0,0,1,0,0
"79",310730,2,8,11,30,0,0,0,0,0,0,0,1
"80",317435,0,7,8,NA,4,0,0,0,1,0,0,0
"81",319777,0,2,15,30,3,0,0,1,0,0,0,0
"82",322181,1,10,13,0,0,0,0,0,0,0,0,1
"83",327284,4,10,11,4,1,1,0,0,0,0,0,0
"84",335119,3,5,14,30,5,0,0,0,0,1,0,0
"85",338407,4,6,6,26,0,0,0,0,0,0,0,1
"86",339866,1,7,8,30,3,0,0,1,0,0,0,0
"87",349414,19,23,9,3,1,1,0,0,0,0,0,0
"88",349494,3,4,11,1,5,0,0,0,0,1,0,0
"89",351020,0,1,10,1,3,0,0,1,0,0,0,0
"90",353927,19,20,14,9,4,0,0,0,1,0,0,0
"91",360186,0,13,23,22,2,0,1,0,0,0,0,0
"92",361627,7,8,8,8,0,0,0,0,0,0,0,1
"93",363715,0,9,15,NA,3,0,0,1,0,0,0,0
"94",366938,4,4,16,7,4,0,0,0,1,0,0,0
"95",367818,4,4,15,13,1,1,0,0,0,0,0,0
"96",368124,2,3,22,18,2,0,1,0,0,0,0,0
"97",371526,2,2,10,7,0,0,0,0,0,0,0,1
"98",383222,5,12,16,13,4,0,0,0,1,0,0,0
"99",385962,15,15,16,7,4,0,0,0,1,0,0,0
"100",389447,4,8,9,14,3,0,0,1,0,0,0,0
"101",391466,5,9,20,30,0,0,0,0,0,0,0,1
"102",392498,7,13,22,11,0,0,0,0,0,0,0,1
"103",394985,0,4,8,NA,5,0,0,0,0,1,0,0
"104",407588,4,16,16,6,3,0,0,1,0,0,0,0
"105",410510,11,12,12,12,1,1,0,0,0,0,0,0
"106",417884,20,25,14,7,0,0,0,0,0,0,0,1
"107",420086,1,13,9,7,0,0,0,0,0,0,0,1
"108",421206,3,7,20,5,0,0,0,0,0,0,0,1
"109",427208,2,3,18,9,5,0,0,0,0,1,0,0
"110",430169,8,8,18,5,0,0,0,0,0,0,0,1
"111",430668,7,13,15,8,1,1,0,0,0,0,0,0
"112",443059,8,16,16,7,5,0,0,0,0,1,0,0
"113",450632,10,11,13,11,1,1,0,0,0,0,0,0
"114",451986,10,13,11,4,5,0,0,0,0,1,0,0
"115",452497,2,14,14,4,6,0,0,0,0,0,1,0
"116",454398,5,9,18,22,5,0,0,0,0,1,0,0
"117",460386,13,20,16,7,0,0,0,0,0,0,0,1
"118",462358,4,21,13,30,4,0,0,0,1,0,0,0
"119",463621,4,11,10,3,4,0,0,0,1,0,0,0
"120",465673,2,2,22,11,4,0,0,0,1,0,0,0
"121",477007,10,10,15,8,0,0,0,0,0,0,0,1
"122",479118,12,15,17,10,6,0,0,0,0,0,1,0
"123",479403,7,11,12,9,6,0,0,0,0,0,1,0
"124",484165,0,19,16,NA,2,0,1,0,0,0,0,0
"125",490282,8,11,19,2,4,0,0,0,1,0,0,0
"126",496279,9,12,9,6,2,0,1,0,0,0,0,0
"127",496771,11,13,13,8,1,1,0,0,0,0,0,0
"128",503403,4,5,18,5,2,0,1,0,0,0,0,0
"129",517633,6,11,9,30,0,0,0,0,0,0,0,1
"130",518699,14,16,18,6,6,0,0,0,0,0,1,0
"131",520222,13,14,6,21,3,0,0,1,0,0,0,0
"132",521255,0,9,16,2,6,0,0,0,0,0,1,0
"133",523626,5,6,14,1,4,0,0,0,1,0,0,0
"134",524366,3,8,12,6,6,0,0,0,0,0,1,0
"135",528160,13,16,17,8,1,1,0,0,0,0,0,0
"136",532256,3,6,17,15,0,0,0,0,0,0,0,1
"137",539194,8,13,14,5,1,1,0,0,0,0,0,0
"138",539518,8,23,10,30,1,1,0,0,0,0,0,0
"139",539614,4,5,16,18,5,0,0,0,0,1,0,0
"140",544973,0,13,15,NA,5,0,0,0,0,1,0,0
"141",545571,3,14,4,26,5,0,0,0,0,1,0,0
"142",546262,2,3,16,5,6,0,0,0,0,0,1,0
"143",553205,26,28,15,16,0,0,0,0,0,0,0,1
"144",563954,5,6,7,7,0,0,0,0,0,0,0,1
"145",564154,18,22,8,6,6,0,0,0,0,0,1,0
"146",568224,2,6,21,8,0,0,0,0,0,0,0,1
"147",572338,2,3,14,7,5,0,0,0,0,1,0,0
"148",576000,9,16,11,8,2,0,1,0,0,0,0,0
"149",584631,4,4,8,7,1,1,0,0,0,0,0,0
"150",585543,5,10,18,25,4,0,0,0,1,0,0,0
"151",591865,1,3,15,3,6,0,0,0,0,0,1,0
"152",597808,8,12,16,5,0,0,0,0,0,0,0,1
"153",604684,8,12,17,7,0,0,0,0,0,0,0,1
"154",609140,3,4,16,0,0,0,0,0,0,0,0,1
"155",609379,15,24,8,7,0,0,0,0,0,0,0,1
"156",617008,4,7,2,15,2,0,1,0,0,0,0,0
"157",620299,0,13,12,23,1,1,0,0,0,0,0,0
"158",620953,6,9,14,7,5,0,0,0,0,1,0,0
"159",625502,5,13,10,24,5,0,0,0,0,1,0,0
"160",627030,6,9,12,2,6,0,0,0,0,0,1,0
"161",629768,12,13,16,7,1,1,0,0,0,0,0,0
"162",634997,3,4,11,15,2,0,1,0,0,0,0,0
"163",636415,1,1,10,13,3,0,0,1,0,0,0,0
"164",636641,6,9,9,7,1,1,0,0,0,0,0,0
"165",645243,6,12,7,3,3,0,0,1,0,0,0,0
"166",654308,3,5,15,5,6,0,0,0,0,0,1,0
"167",655224,20,22,19,7,4,0,0,0,1,0,0,0
"168",660008,6,13,21,2,0,0,0,0,0,0,0,1
"169",663690,13,16,13,3,1,1,0,0,0,0,0,0
"170",664594,4,11,13,1,2,0,1,0,0,0,0,0
"171",664822,5,6,21,1,1,1,0,0,0,0,0,0
"172",671619,14,18,14,7,0,0,0,0,0,0,0,1
"173",676546,7,8,15,8,4,0,0,0,1,0,0,0
"174",677460,2,8,20,6,5,0,0,0,0,1,0,0
"175",678355,3,7,16,8,0,0,0,0,0,0,0,1
"176",683366,4,5,9,24,1,1,0,0,0,0,0,0
"177",686921,6,9,13,9,2,0,1,0,0,0,0,0
"178",688414,3,3,0,30,1,1,0,0,0,0,0,0
"179",694022,17,17,14,5,0,0,0,0,0,0,0,1
"180",700008,16,21,12,7,0,0,0,0,0,0,0,1
"181",705483,18,20,16,2,0,0,0,0,0,0,0,1
"182",710672,2,6,14,4,4,0,0,0,1,0,0,0
"183",729532,2,5,14,3,5,0,0,0,0,1,0,0
"184",734037,11,13,21,7,6,0,0,0,0,0,1,0
"185",738265,6,6,20,5,0,0,0,0,0,0,0,1
"186",739597,16,16,12,10,5,0,0,0,0,1,0,0
"187",742494,0,4,11,26,6,0,0,0,0,0,1,0
"188",746247,0,7,12,2,0,0,0,0,0,0,0,1
"189",749333,6,9,20,6,3,0,0,1,0,0,0,0
"190",760184,11,15,18,13,2,0,1,0,0,0,0,0
"191",760612,8,9,14,6,1,1,0,0,0,0,0,0
"192",762767,1,1,14,5,6,0,0,0,0,0,1,0
"193",763566,0,9,16,4,5,0,0,0,0,1,0,0
"194",767646,10,19,7,8,6,0,0,0,0,0,1,0
"195",774755,5,9,10,4,5,0,0,0,0,1,0,0
"196",775865,11,11,11,5,0,0,0,0,0,0,0,1
"197",775990,15,18,7,12,2,0,1,0,0,0,0,0
"198",778728,10,16,16,13,3,0,0,1,0,0,0,0
"199",784992,8,8,11,8,0,0,0,0,0,0,0,1
"200",787967,13,13,21,6,0,0,0,0,0,0,0,1
"201",793724,10,10,18,5,2,0,1,0,0,0,0,0
"202",795502,10,13,18,13,1,1,0,0,0,0,0,0
"203",796296,13,13,11,10,5,0,0,0,0,1,0,0
"204",796360,14,14,11,5,2,0,1,0,0,0,0,0
"205",796391,2,7,15,30,0,0,0,0,0,0,0,1
"206",796862,13,15,13,7,5,0,0,0,0,1,0,0
"207",800216,1,2,4,1,0,0,0,0,0,0,0,1
"208",804869,3,6,17,8,1,1,0,0,0,0,0,0
"209",805370,5,6,18,3,3,0,0,1,0,0,0,0
"210",807846,8,8,10,8,1,1,0,0,0,0,0,0
"211",813267,8,11,11,7,2,0,1,0,0,0,0,0
"212",817533,5,10,12,12,0,0,0,0,0,0,0,1
"213",819079,8,10,11,5,2,0,1,0,0,0,0,0
"214",820827,7,14,7,7,2,0,1,0,0,0,0,0
"215",821545,5,11,8,8,1,1,0,0,0,0,0,0
"216",825357,0,20,9,NA,6,0,0,0,0,0,1,0
"217",845454,7,19,15,0,0,0,0,0,0,0,0,1
"218",851621,24,25,15,4,2,0,1,0,0,0,0,0
"219",859303,9,13,11,8,0,0,0,0,0,0,0,1
"220",866191,5,7,9,30,0,0,0,0,0,0,0,1
"221",867295,8,10,15,5,1,1,0,0,0,0,0,0
"222",871050,2,2,15,1,0,0,0,0,0,0,0,1
"223",884716,3,4,9,6,5,0,0,0,0,1,0,0
"224",886939,4,12,15,6,1,1,0,0,0,0,0,0
"225",891394,7,14,8,30,3,0,0,1,0,0,0,0
"226",894056,2,4,17,11,1,1,0,0,0,0,0,0
"227",898709,6,13,11,8,2,0,1,0,0,0,0,0
"228",908225,7,9,12,6,3,0,0,1,0,0,0,0
"229",911132,11,13,8,17,6,0,0,0,0,0,1,0
"230",913521,30,35,16,6,5,0,0,0,0,1,0,0
"231",915900,14,17,20,5,4,0,0,0,1,0,0,0
"232",919617,17,21,9,18,5,0,0,0,0,1,0,0
"233",919805,19,21,11,7,5,0,0,0,0,1,0,0
"234",928800,9,13,18,9,2,0,1,0,0,0,0,0
"235",932196,25,32,20,6,5,0,0,0,0,1,0,0
"236",932901,0,4,18,NA,1,1,0,0,0,0,0,0
"237",938397,2,4,14,22,2,0,1,0,0,0,0,0
"238",943226,5,5,14,4,0,0,0,0,0,0,0,1
"239",954375,4,5,14,6,2,0,1,0,0,0,0,0
"240",957539,12,13,15,14,5,0,0,0,0,1,0,0
"241",960657,24,26,18,12,4,0,0,0,1,0,0,0
"242",961555,35,42,17,7,5,0,0,0,0,1,0,0
"243",962162,9,15,17,7,3,0,0,1,0,0,0,0
"244",962717,7,10,17,6,2,0,1,0,0,0,0,0
"245",968497,6,6,16,7,0,0,0,0,0,0,0,1
"246",975918,3,4,11,3,3,0,0,1,0,0,0,0
"247",980786,6,8,15,14,0,0,0,0,0,0,0,1
"248",983112,4,4,18,18,1,1,0,0,0,0,0,0
"249",983766,0,16,14,NA,1,1,0,0,0,0,0,0
"250",987595,4,8,23,3,5,0,0,0,0,1,0,0
"251",992068,9,12,16,5,4,0,0,0,1,0,0,0
"252",995079,3,22,12,11,6,0,0,0,0,0,1,0
"253",995081,7,7,16,5,2,0,1,0,0,0,0,0
"254",995357,3,5,7,3,5,0,0,0,0,1,0,0
"255",997095,7,11,13,20,0,0,0,0,0,0,0,1
"256",1008349,3,5,15,4,0,0,0,0,0,0,0,1
"257",1020301,8,8,22,8,2,0,1,0,0,0,0,0
"258",1038850,7,9,19,4,0,0,0,0,0,0,0,1
"259",1047162,5,5,19,11,1,1,0,0,0,0,0,0
"260",1049326,2,8,18,7,0,0,0,0,0,0,0,1
"261",1049866,5,12,18,8,1,1,0,0,0,0,0,0
"262",1057773,18,18,16,6,3,0,0,1,0,0,0,0
"263",1059656,5,8,17,12,2,0,1,0,0,0,0,0
"264",1060622,0,8,8,NA,0,0,0,0,0,0,0,1
"265",1063711,4,4,10,11,5,0,0,0,0,1,0,0
"266",1073222,13,15,19,4,0,0,0,0,0,0,0,1
"267",1074727,8,17,13,9,0,0,0,0,0,0,0,1
"268",1075677,2,3,19,30,0,0,0,0,0,0,0,1
"269",1080771,16,17,9,10,6,0,0,0,0,0,1,0
"270",1083953,3,3,14,6,4,0,0,0,1,0,0,0
"271",1085887,0,21,17,NA,0,0,0,0,0,0,0,1
"272",1088325,8,8,21,4,0,0,0,0,0,0,0,1
"273",1093136,8,12,15,5,5,0,0,0,0,1,0,0
"274",1095440,9,10,11,4,6,0,0,0,0,0,1,0
"275",1096152,10,10,7,8,6,0,0,0,0,0,1,0
"276",1097444,7,8,14,8,2,0,1,0,0,0,0,0
"277",1098661,0,14,14,NA,1,1,0,0,0,0,0,0
"278",1101512,3,4,9,4,5,0,0,0,0,1,0,0
"279",1101826,15,19,10,7,1,1,0,0,0,0,0,0
"280",1105670,3,3,15,15,1,1,0,0,0,0,0,0
"281",1107412,10,27,12,8,1,1,0,0,0,0,0,0
"282",1112064,13,20,21,16,6,0,0,0,0,0,1,0
"283",1120154,0,6,16,NA,6,0,0,0,0,0,1,0
"284",1120872,14,17,9,3,4,0,0,0,1,0,0,0
"285",1124638,11,16,14,7,0,0,0,0,0,0,0,1
"286",1131577,3,6,10,7,0,0,0,0,0,0,0,1
"287",1132098,6,9,14,7,0,0,0,0,0,0,0,1
"288",1132171,7,10,8,7,0,0,0,0,0,0,0,1
"289",1140659,7,8,18,3,1,1,0,0,0,0,0,0
"290",1148989,1,6,14,7,0,0,0,0,0,0,0,1
"291",1149358,14,15,17,4,5,0,0,0,0,1,0,0
"292",1151159,11,14,20,13,6,0,0,0,0,0,1,0
"293",1152203,5,9,14,14,5,0,0,0,0,1,0,0
"294",1153282,0,8,15,NA,1,1,0,0,0,0,0,0
"295",1169079,6,14,9,6,6,0,0,0,0,0,1,0
"296",1170898,0,3,18,3,3,0,0,1,0,0,0,0
"297",1171732,17,22,8,2,0,0,0,0,0,0,0,1
"298",1173250,9,37,16,22,1,1,0,0,0,0,0,0
"299",1178750,1,4,11,12,5,0,0,0,0,1,0,0
"300",1179326,5,7,16,13,5,0,0,0,0,1,0,0
"301",1186251,14,14,7,6,5,0,0,0,0,1,0,0
"302",1198376,28,29,8,6,6,0,0,0,0,0,1,0
"303",1201940,9,19,12,4,0,0,0,0,0,0,0,1
"304",1203238,6,8,14,10,1,1,0,0,0,0,0,0
"305",1209413,1,4,13,9,6,0,0,0,0,0,1,0
"306",1209677,0,3,22,1,1,1,0,0,0,0,0,0
"307",1215291,9,13,10,13,4,0,0,0,1,0,0,0
"308",1230454,4,10,15,7,3,0,0,1,0,0,0,0
"309",1230750,4,4,20,1,2,0,1,0,0,0,0,0
"310",1236932,3,11,11,0,5,0,0,0,0,1,0,0
"311",1247673,3,7,20,11,6,0,0,0,0,0,1,0
"312",1249108,6,8,17,1,1,1,0,0,0,0,0,0
"313",1253508,4,11,12,30,5,0,0,0,0,1,0,0
"314",1253889,6,8,14,5,6,0,0,0,0,0,1,0
"315",1257867,18,18,14,13,0,0,0,0,0,0,0,1
"316",1259665,1,3,13,1,6,0,0,0,0,0,1,0
"317",1266130,7,9,10,28,1,1,0,0,0,0,0,0
"318",1266555,0,1,11,NA,5,0,0,0,0,1,0,0
"319",1277554,8,8,13,7,0,0,0,0,0,0,0,1
"320",1281206,8,9,14,6,0,0,0,0,0,0,0,1
"321",1283772,15,21,12,8,2,0,1,0,0,0,0,0
"322",1286827,6,11,19,9,4,0,0,0,1,0,0,0
"323",1289672,11,12,12,7,1,1,0,0,0,0,0,0
"324",1290230,14,14,19,13,5,0,0,0,0,1,0,0
"325",1292223,1,6,12,3,0,0,0,0,0,0,0,1
"326",1292410,5,6,18,7,0,0,0,0,0,0,0,1
"327",1304736,11,11,8,5,0,0,0,0,0,0,0,1
"328",1305859,10,14,16,27,1,1,0,0,0,0,0,0
"329",1310632,10,25,12,14,0,0,0,0,0,0,0,1
"330",1311807,11,11,14,3,1,1,0,0,0,0,0,0
"331",1314712,1,1,17,30,0,0,0,0,0,0,0,1
"332",1316916,8,8,14,12,1,1,0,0,0,0,0,0
"333",1317824,4,4,13,30,1,1,0,0,0,0,0,0
"334",1327310,21,21,14,14,0,0,0,0,0,0,0,1
"335",1339906,1,8,15,30,3,0,0,1,0,0,0,0
"336",1341184,1,1,21,2,2,0,1,0,0,0,0,0
"337",1344151,5,14,12,6,6,0,0,0,0,0,1,0
"338",1347785,4,6,3,1,6,0,0,0,0,0,1,0
"339",1352570,4,7,11,25,6,0,0,0,0,0,1,0
"340",1355628,8,15,11,11,0,0,0,0,0,0,0,1
"341",1356588,7,7,7,5,5,0,0,0,0,1,0,0
"342",1358467,11,11,8,10,1,1,0,0,0,0,0,0
"343",1359109,7,7,17,6,6,0,0,0,0,0,1,0
"344",1367183,4,18,23,1,0,0,0,0,0,0,0,1
"345",1376818,15,19,9,6,6,0,0,0,0,0,1,0
"346",1403888,6,7,10,14,0,0,0,0,0,0,0,1
"347",1408833,11,11,15,5,2,0,1,0,0,0,0,0
"348",1415742,3,3,16,7,4,0,0,0,1,0,0,0
"349",1418322,11,12,7,0,1,1,0,0,0,0,0,0
"350",1420193,6,15,11,8,1,1,0,0,0,0,0,0
"351",1421005,0,2,18,NA,5,0,0,0,0,1,0,0
"352",1426587,2,2,14,1,3,0,0,1,0,0,0,0
"353",1426839,0,7,11,NA,4,0,0,0,1,0,0,0
"354",1430815,8,10,18,15,1,1,0,0,0,0,0,0
"355",1434999,8,9,21,5,6,0,0,0,0,0,1,0
"356",1436112,2,7,20,9,2,0,1,0,0,0,0,0
"357",1436361,3,3,21,10,3,0,0,1,0,0,0,0
"358",1439208,9,11,11,7,0,0,0,0,0,0,0,1
"359",1442225,3,4,10,2,4,0,0,0,1,0,0,0
"360",1442678,0,6,12,30,5,0,0,0,0,1,0,0
"361",1446092,4,5,14,4,1,1,0,0,0,0,0,0
"362",1453337,5,16,8,30,1,1,0,0,0,0,0,0
"363",1456518,5,7,15,9,3,0,0,1,0,0,0,0
"364",1464479,6,8,16,5,2,0,1,0,0,0,0,0
"365",1464878,17,18,16,3,0,0,0,0,0,0,0,1
"366",1466016,2,9,14,7,0,0,0,0,0,0,0,1
"367",1468782,14,17,23,30,3,0,0,1,0,0,0,0
"368",1470810,7,7,11,6,1,1,0,0,0,0,0,0
"369",1479577,4,9,18,6,0,0,0,0,0,0,0,1
"370",1501797,2,3,9,15,5,0,0,0,0,1,0,0
"371",1501901,1,2,21,30,0,0,0,0,0,0,0,1
"372",1502854,8,14,9,5,0,0,0,0,0,0,0,1
"373",1506517,6,8,2,19,3,0,0,1,0,0,0,0
"374",1507190,1,10,15,7,0,0,0,0,0,0,0,1
"375",1509824,3,8,14,11,4,0,0,0,1,0,0,0
"376",1516103,8,11,19,6,4,0,0,0,1,0,0,0
"377",1518386,11,18,7,7,0,0,0,0,0,0,0,1
"378",1519575,7,7,11,6,2,0,1,0,0,0,0,0
"379",1522915,10,10,18,4,5,0,0,0,0,1,0,0
"380",1525575,0,4,18,13,2,0,1,0,0,0,0,0
"381",1529123,13,15,16,4,4,0,0,0,1,0,0,0
"382",1538501,24,33,9,6,6,0,0,0,0,0,1,0
"383",1540136,0,2,10,NA,3,0,0,1,0,0,0,0
"384",1544115,3,22,12,7,0,0,0,0,0,0,0,1
"385",1544722,7,8,18,0,0,0,0,0,0,0,0,1
"386",1552156,11,16,18,6,5,0,0,0,0,1,0,0
"387",1552942,7,8,16,14,0,0,0,0,0,0,0,1
"388",1558244,3,3,13,28,1,1,0,0,0,0,0,0
"389",1559363,0,18,9,NA,0,0,0,0,0,0,0,1
"390",1560731,14,23,14,21,3,0,0,1,0,0,0,0
"391",1561163,0,9,9,NA,4,0,0,0,1,0,0,0
"392",1562339,14,22,7,5,5,0,0,0,0,1,0,0
"393",1562847,16,16,14,8,1,1,0,0,0,0,0,0
"394",1563370,4,9,16,9,4,0,0,0,1,0,0,0
"395",1563773,5,5,15,1,1,1,0,0,0,0,0,0
"396",1579270,11,15,12,11,3,0,0,1,0,0,0,0
"397",1579568,6,14,15,3,3,0,0,1,0,0,0,0
"398",1582454,7,9,10,5,0,0,0,0,0,0,0,1
"399",1594891,4,9,16,27,2,0,1,0,0,0,0,0
"400",1595491,17,18,19,0,5,0,0,0,0,1,0,0
"401",1601954,3,5,9,7,0,0,0,0,0,0,0,1
"402",1606685,0,16,11,NA,2,0,1,0,0,0,0,0
"403",1606815,5,7,15,30,1,1,0,0,0,0,0,0
"404",1610860,11,11,17,8,4,0,0,0,1,0,0,0
"405",1624157,0,5,9,30,3,0,0,1,0,0,0,0
"406",1625157,6,7,18,8,2,0,1,0,0,0,0,0
"407",1625434,7,12,12,7,1,1,0,0,0,0,0,0
"408",1631263,1,4,13,3,2,0,1,0,0,0,0,0
"409",1632280,4,5,15,7,3,0,0,1,0,0,0,0
"410",1632388,5,7,16,4,0,0,0,0,0,0,0,1
"411",1639676,3,14,10,30,4,0,0,0,1,0,0,0
"412",1642002,3,4,19,12,0,0,0,0,0,0,0,1
"413",1642361,9,28,20,18,1,1,0,0,0,0,0,0
"414",1645707,17,18,14,12,3,0,0,1,0,0,0,0
"415",1647770,7,7,11,7,0,0,0,0,0,0,0,1
"416",1647832,1,5,10,20,2,0,1,0,0,0,0,0
"417",1648256,16,23,2,29,6,0,0,0,0,0,1,0
"418",1655900,5,10,15,10,4,0,0,0,1,0,0,0
"419",1656719,11,14,16,6,5,0,0,0,0,1,0,0
"420",1659958,16,16,14,5,3,0,0,1,0,0,0,0
"421",1661513,0,7,22,NA,3,0,0,1,0,0,0,0
"422",1669662,11,15,19,4,6,0,0,0,0,0,1,0
"423",1672452,21,24,13,6,3,0,0,1,0,0,0,0
"424",1674777,10,10,11,8,3,0,0,1,0,0,0,0
"425",1679315,10,13,9,7,0,0,0,0,0,0,0,1
"426",1681168,18,19,14,7,1,1,0,0,0,0,0,0
"427",1683724,11,12,16,14,1,1,0,0,0,0,0,0
"428",1686479,11,12,19,4,1,1,0,0,0,0,0,0
"429",1693770,7,7,8,20,4,0,0,0,1,0,0,0
"430",1694585,0,3,12,27,6,0,0,0,0,0,1,0
"431",1702383,14,17,21,7,0,0,0,0,0,0,0,1
"432",1706246,0,6,11,NA,1,1,0,0,0,0,0,0
"433",1709195,12,12,13,8,0,0,0,0,0,0,0,1
"434",1709959,12,13,13,7,0,0,0,0,0,0,0,1
"435",1713679,9,9,19,9,6,0,0,0,0,0,1,0
"436",1713862,0,23,18,NA,2,0,1,0,0,0,0,0
"437",1727659,2,6,11,22,4,0,0,0,1,0,0,0
"438",1732538,1,2,20,30,3,0,0,1,0,0,0,0
"439",1735048,13,16,16,3,3,0,0,1,0,0,0,0
"440",1736973,11,13,12,15,3,0,0,1,0,0,0,0
"441",1746936,9,9,9,8,1,1,0,0,0,0,0,0
"442",1747353,15,15,8,6,6,0,0,0,0,0,1,0
"443",1748134,18,19,15,6,1,1,0,0,0,0,0,0
"444",1748359,10,10,20,8,0,0,0,0,0,0,0,1
"445",1751223,0,1,10,13,6,0,0,0,0,0,1,0
"446",1753881,5,5,19,15,2,0,1,0,0,0,0,0
"447",1757784,18,19,16,2,6,0,0,0,0,0,1,0
"448",1786619,6,9,16,6,1,1,0,0,0,0,0,0
"449",1790544,9,23,9,4,3,0,0,1,0,0,0,0
"450",1792849,8,12,12,5,5,0,0,0,0,1,0,0
"451",1798129,11,14,15,7,1,1,0,0,0,0,0,0
"452",1800018,5,6,17,6,2,0,1,0,0,0,0,0
"453",1800452,4,5,19,1,3,0,0,1,0,0,0,0
"454",1801858,8,15,7,8,4,0,0,0,1,0,0,0
